Date,TSLA.US,^NDQ,GM.US,^DJI,mon_dum,tue_dum,wed_dum,thr_dum,fri_dum
2012/5/8,-17.55463881,-0.971174132,-2.03425317,-1.469036086,0,1,0,0,0
2012/5/9,-1.076927663,-0.980901275,2.400318093,-1.875760221,0,0,1,0,0
2012/5/10,24.11801397,-0.091150403,-0.793462334,0.389168418,0,0,0,1,0
2012/5/11,-5.384944455,0.015339305,-4.148437364,-0.669776212,0,0,0,0,1
2012/5/14,-16.97674419,-2.66205834,-4.14753895,-2.442358392,1,0,0,0,0
2012/5/15,-5.239520958,-0.759668984,-2.467722846,-1.247504007,0,1,0,0,0
2012/5/16,-2.124108053,-1.703665819,5.708226642,-0.662009183,0,0,1,0,0
2012/5/17,-5.225334519,-5.24957899,-3.409583019,-3.096784947,0,0,0,1,0
2012/5/18,-8.838801472,-3.100910193,-4.999398569,-1.468958384,0,0,0,0,1
2012/5/21,10.97652572,6.155556915,4.260640093,2.730532977,1,0,0,0,0
2012/5/22,17.55344108,-0.713856723,-0.435971084,-0.033388034,0,1,0,0,0
2012/5/23,1.867080437,0.972145906,7.296005029,-0.133170063,0,0,1,0,0
2012/5/24,-5.641924565,-0.942065597,-1.007277063,0.67220704,0,0,0,1,0
2012/5/25,-4.205152053,-0.162887673,4.549609317,-1.494842275,0,0,0,0,1
2012/5/29,15.76738639,2.947986453,4.584127278,2.526329143,0,1,0,0,0
2012/5/30,-10.09859562,-2.928432353,-5.280758928,-3.195969378,0,0,1,0,0
2012/5/31,-7.480281947,-0.882862943,-1.865053773,-0.531608247,0,0,0,1,0
2012/6/1,-11.44065858,-7.061407542,-2.170298954,-5.544864424,0,0,0,0,1
2012/6/4,-2.397864302,1.140135688,-10.19953232,-0.352970689,1,0,0,0,0
2012/6/5,0.269009561,1.639486813,1.654487586,0.547248018,0,1,0,0,0
2012/6/6,11.10621443,5.994183096,6.803781985,5.912788229,0,0,1,0,0
2012/6/7,-1.885938055,-1.203984926,0.236660673,0.929737837,0,0,0,1,0
2012/6/8,9.936899521,2.41962261,2.295965406,1.87064239,0,0,0,0,1
2012/6/11,-7.978736667,-4.258471463,-1.497067751,-2.847055169,1,0,0,0,0
2012/6/12,4.635996971,2.966477206,2.878760028,3.274655292,0,1,0,0,0
2012/6/13,0.928019096,-2.150843982,-3.414599832,-1.539311903,0,0,1,0,0
2012/6/14,-3.191966423,1.571696687,-0.784495516,3.111501091,0,0,0,1,0
2012/6/15,4.423706063,3.214541326,-0.667727877,2.277521734,0,0,0,0,1
2012/6/18,16.13214644,1.960630744,-3.600143468,-0.496390351,1,0,0,0,0
2012/6/19,1.962151441,2.972890828,3.652745093,1.873947364,0,1,0,0,0
2012/6/20,13.1665054,0.058878543,-3.020294707,-0.251999442,0,0,1,0,0
2012/6/21,-11.76731794,-6.087802215,-9.772243199,-4.889511314,0,0,0,1,0
2012/6/22,12.42660764,2.914388844,-0.456537619,1.336334868,0,0,0,0,1
2012/6/25,-5.0318067,-4.862710118,-8.415660446,-2.731635231,1,0,0,0,0
2012/6/26,-11.32590052,1.57783764,-0.745864289,0.640063794,0,1,0,0,0
2012/6/27,2.768906626,1.862259378,-2.378520308,1.841691883,0,0,1,0,0
2012/6/28,-4.302637199,-2.245836985,2.055953672,-0.490020995,0,0,0,1,0
2012/6/29,-0.955109838,7.506606445,-1.288423206,5.511511427,0,0,0,0,1
2012/7/2,-7.110498562,1.37817073,-1.88827228,-0.16886528,1,0,0,0,0
2012/7/3,2.137743195,2.105054503,14.04901049,1.406802218,0,1,0,0,0
2012/7/5,4.647749511,0.003360125,-1.595490499,-0.910666248,0,0,0,1,0
2012/7/6,-1.921229587,-3.25843716,-2.789080347,-2.40759824,0,0,0,0,1
2012/7/9,4.033155857,-0.473218876,-1.081503097,-0.70816373,1,0,0,0,0
2012/7/10,-1.745795087,-2.510428854,-5.215697869,-1.632539774,0,1,0,0,0
2012/7/11,1.918768918,-1.236075843,1.27509157,-0.960039895,0,0,1,0,0
2012/7/12,9.441035479,-1.886266525,-7.151300622,-0.620015185,0,0,0,1,0
