Year,Economy,Economy Label,Flow,Flow Label,Direction,Direction Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1990,854,Burkina Faso,9,Stock,1,Inward,38.67,,,0.001761,,
1990,854,Burkina Faso,9,Stock,2,Outward,3.718,,,0.000165,,
1990,108,Burundi,8,Flow,1,Inward,1.255,,,0.000613,,
1990,108,Burundi,8,Flow,2,Outward,0.006,,,2.00E-06,,
1990,108,Burundi,9,Stock,1,Inward,30.188,,,0.001375,,
1990,108,Burundi,9,Stock,2,Outward,0.346,,,1.50E-05,,
1990,132,Cabo Verde,8,Flow,1,Inward,0.253,,,0.000123,,
1990,132,Cabo Verde,8,Flow,2,Outward,0.317,,,0.00013,,
1990,132,Cabo Verde,9,Stock,1,Inward,3.802,,,0.000173,,
1990,116,Cambodia,9,Stock,1,Inward,37.746,,,0.001719,,
1990,116,Cambodia,9,Stock,2,Outward,0,,,0,,
1990,120,Cameroon,8,Flow,1,Inward,-112.831,,,-0.05507,,
1990,120,Cameroon,8,Flow,2,Outward,15.096,,,0.00619,,
1990,120,Cameroon,9,Stock,1,Inward,360.432,,,0.016412,,
1990,120,Cameroon,9,Stock,2,Outward,1148.132,,,0.050917,,
1990,124,Canada,8,Flow,1,Inward,7582.276,,,3.700698,,
1990,124,Canada,8,Flow,2,Outward,5236.544,,,2.147227,,
1990,124,Canada,9,Stock,1,Inward,112843.23,,,5.138106,,
1990,124,Canada,9,Stock,2,Outward,84807.377,,,3.761021,,
1990,136,Cayman Islands,8,Flow,1,Inward,49.04,,,0.023935,,
1990,136,Cayman Islands,8,Flow,2,Outward,281.553,,,0.11545,,
1990,136,Cayman Islands,9,Stock,1,Inward,1749.06,,,0.07964,,
1990,136,Cayman Islands,9,Stock,2,Outward,648.26,,,0.028749,,
1990,140,Central African Republic,8,Flow,1,Inward,0.698,,,0.000341,,
1990,140,Central African Republic,8,Flow,2,Outward,3.79,,,0.001554,,
1990,140,Central African Republic,9,Stock,1,Inward,95.388,,,0.004343,,
1990,140,Central African Republic,9,Stock,2,Outward,17.9,,,0.000794,,
1990,148,Chad,8,Flow,1,Inward,9.4,,,0.004588,,
1990,148,Chad,8,Flow,2,Outward,0.06,,,2.50E-05,,
1990,148,Chad,9,Stock,1,Inward,249.68,,,0.011369,,
1990,148,Chad,9,Stock,2,Outward,37.18,,,0.001649,,
1990,152,Chile,8,Flow,1,Inward,661.2,,,0.322713,,
1990,152,Chile,8,Flow,2,Outward,7.5,,,0.003075,,
1990,152,Chile,9,Stock,1,Inward,16106.684,,,0.733388,,
1990,152,Chile,9,Stock,2,Outward,154,,,0.00683,,
1990,156,China,8,Flow,1,Inward,3487.11,,,1.701962,,
1990,156,China,8,Flow,2,Outward,830,,,0.340339,,
1990,156,China,9,Stock,1,Inward,20690.62,,,0.942109,,
1990,156,China,9,Stock,2,Outward,4455,,,0.197569,,
1990,344,"China, Hong Kong SAR",8,Flow,1,Inward,3275.072,,,1.598472,,
1990,344,"China, Hong Kong SAR",8,Flow,2,Outward,2448,,,1.003794,,
1990,344,"China, Hong Kong SAR",9,Stock,1,Inward,201652.868,,,9.181887,,
1990,344,"China, Hong Kong SAR",9,Stock,2,Outward,11920.35,,,0.528641,,
1990,446,"China, Macao SAR",8,Flow,1,Inward,0.48,,,0.000234,,
1990,446,"China, Macao SAR",9,Stock,1,Inward,2808.72,,,0.12789,,
1990,158,"China, Taiwan Province of",8,Flow,1,Inward,1330,,,0.649136,,
1990,158,"China, Taiwan Province of",8,Flow,2,Outward,5243,,,2.149874,,
1990,158,"China, Taiwan Province of",9,Stock,1,Inward,9735,,,0.443265,,
1990,158,"China, Taiwan Province of",9,Stock,2,Outward,30356,,,1.346222,,
1990,170,Colombia,8,Flow,1,Inward,500,,,0.244036,,
1990,170,Colombia,8,Flow,2,Outward,16,,,0.006561,,
1990,170,Colombia,9,Stock,1,Inward,3500.149,,,0.159373,,
1990,170,Colombia,9,Stock,2,Outward,402.436,,,0.017847,,
1990,174,Comoros,8,Flow,1,Inward,0.393,,,0.000192,,
1990,174,Comoros,9,Stock,1,Inward,17.053,,,0.000776,,
1990,178,Congo,8,Flow,1,Inward,22.552,,,0.011007,,
1990,178,Congo,8,Flow,2,Outward,3.793,,,0.001555,,
1990,178,Congo,9,Stock,1,Inward,575.163,,,0.026189,,
1990,178,Congo,9,Stock,2,Outward,17.811,,,0.00079,,
1990,188,Costa Rica,8,Flow,1,Inward,162.4,,,0.079263,,
1990,188,Costa Rica,8,Flow,2,Outward,2.1,,,0.000861,,
1990,188,Costa Rica,9,Stock,1,Inward,1323.699,,,0.060272,,
1990,188,Costa Rica,9,Stock,2,Outward,44.1,,,0.001956,,
1990,384,Cote d'Ivoire,8,Flow,1,Inward,48.434,,,0.02364,,
1990,384,Cote d'Ivoire,9,Stock,1,Inward,975.444,,,0.044415,,
1990,384,Cote d'Ivoire,9,Stock,2,Outward,6.402,,,0.000284,,
1990,191,Croatia,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,191,Croatia,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,191,Croatia,9,Stock,1,Inward,,,Not applicable,,,Not applicable
1990,191,Croatia,9,Stock,2,Outward,,,Not applicable,,,Not applicable
1990,531,Curacao,8,Flow,1,Inward,,,Not applicable,,,Not applicable
1990,531,Curacao,8,Flow,2,Outward,,,Not applicable,,,Not applicable
1990,531,Curacao,9,Stock,1,Inward,,,Not applicable,,,Not applicable
