Year,Economy,Economy Label,Flow,Flow Label,Direction,Direction Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,US$ at current prices per capita,US$ at current prices per capita Footnote,US$ at current prices per capita Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value,Percentage of Gross Domestic Product,Percentage of Gross Domestic Product Footnote,Percentage of Gross Domestic Product Missing value,Percentage of Gross Fixed Capital Formation,Percentage of Gross Fixed Capital Formation Footnote,Percentage of Gross Fixed Capital Formation Missing value
1990,5350,"South-eastern Asia",09,"Stock",2,"Outward",9471.226,,,28.322,,,0.420028,,,2.64307,,,8.79003,,
1990,5320,"Southern Asia",08,"Flow",1,"Inward",212.801,,,0.177,,,0.103862,,,0.04072,,,0.16491,,
1990,5320,"Southern Asia",08,"Flow",2,"Outward",65.316,,,0.056,,,0.026783,,,0.01269,,,0.05112,,
1990,5320,"Southern Asia",09,"Stock",1,"Inward",6795.054,,,5.663,,,0.3094,,,1.30011,,,5.26572,,
1990,5320,"Southern Asia",09,"Stock",2,"Outward",478.252,,,0.41,,,0.021209,,,0.09292,,,0.37427,,
1990,5340,"Western Asia",08,"Flow",1,"Inward",1060.153,,,8.183,,,0.517431,,,0.20006,,,0.97675,,
1990,5340,"Western Asia",08,"Flow",2,"Outward",-706.073,,,-8.431,,,-0.289523,,,-0.14731,,,-0.70252,,
1990,5340,"Western Asia",09,"Stock",1,"Inward",34787.972,,,268.515,,,1.584005,,,6.56471,,,32.05102,,
1990,5340,"Western Asia",09,"Stock",2,"Outward",9276.441,,,95.444,,,0.41139,,,1.94895,,,9.30425,,
1990,5400,"Europe",08,"Flow",1,"Inward",102574.562,,,130.249,,,50.063796,,,1.16497,,,4.71888,,
1990,5400,"Europe",08,"Flow",2,"Outward",140950.284,,,305.155,,,57.796179,,,1.78732,,,7.32478,,
1990,5400,"Europe",09,"Stock",1,"Inward",933173.717,,,1184.942,,,42.490323,,,10.59833,,,42.93009,,
1990,5400,"Europe",09,"Stock",2,"Outward",1053374.139,,,2192.134,,,46.714825,,,13.24349,,,54.55938,,
1990,5410,"Eastern Europe",08,"Flow",1,"Inward",814.719,,,2.106,,,0.397642,,,0.08045,,,0.29504,,
1990,5410,"Eastern Europe",08,"Flow",2,"Outward",40.451,,,0.474,,,0.016587,,,0.0219,,,0.10023,,
1990,5410,"Eastern Europe",09,"Stock",1,"Inward",2444.278,,,6.319,,,0.111296,,,0.24137,,,0.88515,,
1990,5410,"Eastern Europe",09,"Stock",2,"Outward",444.658,,,5.544,,,0.01972,,,0.27061,,,1.31713,,
1990,5420,"Northern Europe",08,"Flow",1,"Inward",36416.908,,,433.203,,,17.774082,,,2.01163,,,8.22954,,
1990,5420,"Northern Europe",08,"Flow",2,"Outward",38352.741,,,456.231,,,15.726409,,,2.11856,,,8.66701,,
1990,5420,"Northern Europe",09,"Stock",1,"Inward",280536.362,,,3337.163,,,12.773699,,,15.4965,,,63.39599,,
1990,5420,"Northern Europe",09,"Stock",2,"Outward",322624.38,,,3837.828,,,14.307681,,,17.82139,,,72.9071,,
1990,5430,"Southern Europe",08,"Flow",1,"Inward",20627.444,,,146.766,,,10.067683,,,1.03904,,,4.47113,,
1990,5430,"Southern Europe",08,"Flow",2,"Outward",10457.113,,,89.865,,,4.287903,,,0.55199,,,2.33565,,
1990,5430,"Southern Europe",09,"Stock",1,"Inward",143306.77,,,1019.638,,,6.525206,,,7.21863,,,31.06263,,
1990,5430,"Southern Europe",09,"Stock",2,"Outward",80095.193,,,571.379,,,3.552046,,,4.03994,,,17.38487,,
1990,5440,"Western Europe",08,"Flow",1,"Inward",44715.492,,,253.946,,,21.82439,,,1.11882,,,4.49989,,
1990,5440,"Western Europe",08,"Flow",2,"Outward",92099.979,,,523.049,,,37.765279,,,2.30441,,,9.26838,,
1990,5440,"Western Europe",09,"Stock",1,"Inward",506886.307,,,2878.681,,,23.080121,,,12.68268,,,51.00992,,
1990,5440,"Western Europe",09,"Stock",2,"Outward",650209.909,,,3692.636,,,28.835378,,,16.26874,,,65.43313,,
1990,5500,"Oceania",08,"Flow",1,"Inward",9882.516,,,376.689,,,4.823382,,,2.59872,,,10.81353,,
1990,5500,"Oceania",08,"Flow",2,"Outward",2567.397,,,101.446,,,1.052752,,,0.68248,,,2.84055,,
1990,5500,"Oceania",09,"Stock",1,"Inward",90250.132,,,3514.297,,,4.109371,,,23.75819,,,98.86675,,
1990,5500,"Oceania",09,"Stock",2,"Outward",41961.394,,,1659.027,,,1.860895,,,11.15676,,,46.43101,,
1990,0001,"Individual economies",08,"Flow",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,0001,"Individual economies",08,"Flow",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,0001,"Individual economies",09,"Stock",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,0001,"Individual economies",09,"Stock",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,004,"Afghanistan",08,"Flow",1,"Inward",0,,,0,,,0,,,0,,,0,,
1990,004,"Afghanistan",09,"Stock",1,"Inward",11.78,,,0.978,,,0.000536,,,0.32527,,,2.43639,,
1990,012,"Algeria",08,"Flow",1,"Inward",40,,,1.576,,,0.019523,,,0.06478,,,0.25254,,
1990,012,"Algeria",08,"Flow",2,"Outward",4.689,,,0.185,,,0.001923,,,0.00759,,,0.0296,,
1990,012,"Algeria",09,"Stock",1,"Inward",1560.57,,,61.498,,,0.071058,,,2.52718,,,9.8528,,
1990,012,"Algeria",09,"Stock",2,"Outward",183.039,,,7.213,,,0.008117,,,0.29641,,,1.15563,,
1990,024,"Angola",08,"Flow",1,"Inward",-334.5,,,-28.771,,,-0.16326,,,-2.44684,,,-22.23905,,
1990,024,"Angola",08,"Flow",2,"Outward",0.9,,,0.077,,,0.000369,,,0.00658,,,0.05984,,
1990,024,"Angola",09,"Stock",1,"Inward",1024.65,,,88.132,,,0.046656,,,7.49523,,,68.12329,,
1990,024,"Angola",09,"Stock",2,"Outward",0.9,,,0.077,,,4E-05,,,0.00658,,,0.05984,,
1990,660,"Anguilla",08,"Flow",1,"Inward",10.82,,,1288.249,,,0.005281,,,14.31184,,,37.15855,,
1990,028,"Antigua and Barbuda",08,"Flow",1,"Inward",58.75,,,931.564,,,0.028674,,,12.78646,,,48.12944,,
1990,032,"Argentina",08,"Flow",1,"Inward",1836,,,56.051,,,0.896101,,,1.19855,,,10.32607,,
1990,032,"Argentina",08,"Flow",2,"Outward",34.903,,,1.066,,,0.014312,,,0.02278,,,0.1963,,
1990,032,"Argentina",09,"Stock",1,"Inward",9084.648,,,277.344,,,0.413652,,,5.93048,,,51.09407,,
1990,032,"Argentina",09,"Stock",2,"Outward",6057.272,,,184.922,,,0.268627,,,3.9542,,,34.06744,,
1990,051,"Armenia",08,"Flow",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,051,"Armenia",08,"Flow",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,051,"Armenia",09,"Stock",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,051,"Armenia",09,"Stock",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,533,"Aruba",08,"Flow",1,"Inward",130.503,,,2025.406,,,0.063695,,,15.24924,,,52.20995,,
1990,533,"Aruba",08,"Flow",2,"Outward",486.891,,,7556.551,,,0.199648,,,56.8931,,,194.78916,,
1990,533,"Aruba",09,"Stock",1,"Inward",145.155,,,2252.804,,,0.006609,,,16.96131,,,58.07169,,
1990,036,"Australia",08,"Flow",1,"Inward",7904.392,,,461.535,,,3.857914,,,2.43811,,,9.92363,,
1990,036,"Australia",08,"Flow",2,"Outward",194.37,,,11.349,,,0.079701,,,0.05995,,,0.24402,,
1990,036,"Australia",09,"Stock",1,"Inward",80364.379,,,4692.455,,,3.659242,,,24.78837,,,100.89409,,
1990,036,"Australia",09,"Stock",2,"Outward",37505.026,,,2189.909,,,1.663265,,,11.56842,,,47.08598,,
1990,040,"Austria",08,"Flow",1,"Inward",653,,,85.03,,,0.318711,,,0.39227,,,1.53218,,
1990,040,"Austria",08,"Flow",2,"Outward",1701,,,221.495,,,0.697489,,,1.02182,,,3.99116,,
1990,040,"Austria",09,"Stock",1,"Inward",11606.088,,,1511.283,,,0.528462,,,6.97197,,,27.23211,,
1990,040,"Austria",09,"Stock",2,"Outward",5021.383,,,653.858,,,0.222687,,,3.01643,,,11.78199,,
1990,031,"Azerbaijan",08,"Flow",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,031,"Azerbaijan",08,"Flow",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,031,"Azerbaijan",09,"Stock",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,031,"Azerbaijan",09,"Stock",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,044,"Bahamas",08,"Flow",1,"Inward",-17.3,,,-62.694,,,-0.008444,,,-0.36287,,,-1.75135,,
1990,044,"Bahamas",08,"Flow",2,"Outward",0.115,,,0.418,,,4.7E-05,,,0.00242,,,0.01167,,
1990,044,"Bahamas",09,"Stock",1,"Inward",585.78,,,2122.814,,,0.026672,,,12.28684,,,59.30105,,
1990,048,"Bahrain",08,"Flow",1,"Inward",-182.9,,,-355.286,,,-0.089268,,,-3.72571,,,-16.05552,,
1990,048,"Bahrain",08,"Flow",2,"Outward",25,,,48.563,,,0.010251,,,0.50926,,,2.19458,,
1990,048,"Bahrain",09,"Stock",1,"Inward",551.601,,,1071.492,,,0.025116,,,11.23623,,,48.42121,,
1990,048,"Bahrain",09,"Stock",2,"Outward",719.422,,,1397.487,,,0.031905,,,14.65478,,,63.15305,,
1990,050,"Bangladesh",08,"Flow",1,"Inward",3.239,,,0.029,,,0.001581,,,0.01151,,,0.05688,,
1990,050,"Bangladesh",08,"Flow",2,"Outward",0.5,,,0.004,,,0.000205,,,0.00178,,,0.00878,,
1990,050,"Bangladesh",09,"Stock",1,"Inward",477.48,,,4.277,,,0.021741,,,1.69701,,,8.38501,,
1990,050,"Bangladesh",09,"Stock",2,"Outward",45.032,,,0.403,,,0.001997,,,0.16005,,,0.7908,,
1990,052,"Barbados",08,"Flow",1,"Inward",11.213,,,43.365,,,0.005473,,,0.54574,,,3.69262,,
1990,052,"Barbados",08,"Flow",2,"Outward",1.35,,,5.221,,,0.000554,,,0.0657,,,0.44457,,
1990,052,"Barbados",09,"Stock",1,"Inward",171.33,,,662.575,,,0.007801,,,8.33844,,,56.42035,,
1990,052,"Barbados",09,"Stock",2,"Outward",23.383,,,90.428,,,0.001037,,,1.13802,,,7.70021,,
1990,112,"Belarus",08,"Flow",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,112,"Belarus",08,"Flow",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,112,"Belarus",09,"Stock",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,112,"Belarus",09,"Stock",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,056,"Belgium",08,"Flow",1,"Inward",8046.73,,,807.826,,,3.927386,,,3.91893,,,16.3326,,
1990,056,"Belgium",08,"Flow",2,"Outward",6314.44,,,633.918,,,2.589214,,,3.07527,,,12.81654,,
1990,056,"Belgium",09,"Stock",1,"Inward",58387.8,,,5861.659,,,2.658579,,,28.43613,,,118.51079,,
1990,056,"Belgium",09,"Stock",2,"Outward",40635.8,,,4079.503,,,1.802108,,,19.79052,,,82.47923,,
1990,084,"Belize",08,"Flow",1,"Inward",19,,,103.782,,,0.009273,,,3.48185,,,15.71994,,
1990,084,"Belize",08,"Flow",2,"Outward",1.8,,,9.832,,,0.000738,,,0.32986,,,1.48926,,
1990,084,"Belize",09,"Stock",1,"Inward",89.08,,,486.574,,,0.004056,,,16.32441,,,73.70177,,
1990,084,"Belize",09,"Stock",2,"Outward",20,,,109.244,,,0.000887,,,3.66511,,,16.5473,,
1990,204,"Benin",08,"Flow",1,"Inward",62.377,,,11.81,,,0.030444,,,3.12987,,,24.79784,,
1990,204,"Benin",08,"Flow",2,"Outward",0.273,,,0.052,,,0.000112,,,0.01372,,,0.1087,,
1990,204,"Benin",09,"Stock",1,"Inward",,,"Negative accumulation of flows; Value included in regional and global totals",,,"Negative accumulation of flows; Value included in regional and global totals",,,"Negative accumulation of flows; Value included in regional and global totals",,,"Negative accumulation of flows; Value included in regional and global totals",-68.62301,,
1990,204,"Benin",09,"Stock",2,"Outward",1.562,,,0.296,,,6.9E-05,,,0.07838,,,0.62102,,
1990,064,"Bhutan",08,"Flow",1,"Inward",1.6,,,2.715,,,0.000781,,,0.5848,,,1.83798,,
1990,064,"Bhutan",09,"Stock",1,"Inward",2.02,,,3.428,,,9.2E-05,,,0.7383,,,2.32044,,
1990,068,"Bolivia (Plurinational State of)",08,"Flow",1,"Inward",67,,,9.397,,,0.032701,,,1.37645,,,10.96034,,
1990,068,"Bolivia (Plurinational State of)",08,"Flow",2,"Outward",1.1,,,0.154,,,0.000451,,,0.0226,,,0.17995,,
1990,068,"Bolivia (Plurinational State of)",09,"Stock",1,"Inward",1025.7,,,143.854,,,0.046703,,,21.07206,,,167.79137,,
1990,068,"Bolivia (Plurinational State of)",09,"Stock",2,"Outward",7.1,,,0.996,,,0.000315,,,0.14586,,,1.16147,,
1990,070,"Bosnia and Herzegovina",08,"Flow",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,070,"Bosnia and Herzegovina",08,"Flow",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,070,"Bosnia and Herzegovina",09,"Stock",1,"Inward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,070,"Bosnia and Herzegovina",09,"Stock",2,"Outward",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
1990,072,"Botswana",08,"Flow",1,"Inward",95.9,,,73.447,,,0.046806,,,2.57707,,,7.8294,,
1990,072,"Botswana",08,"Flow",2,"Outward",7.364,,,5.64,,,0.003019,,,0.19788,,,0.60118,,
1990,072,"Botswana",09,"Stock",1,"Inward",1309.3,,,1002.76,,,0.059617,,,35.18409,,,106.89293,,
1990,072,"Botswana",09,"Stock",2,"Outward",447.247,,,342.536,,,0.019834,,,12.01863,,,36.51386,,
1990,076,"Brazil",08,"Flow",1,"Inward",988.8,,,6.63,,,0.482606,,,0.24186,,,1.08614,,
1990,076,"Brazil",08,"Flow",2,"Outward",624.6,,,4.188,,,0.256115,,,0.15278,,,0.68609,,
1990,076,"Brazil",09,"Stock",1,"Inward",37143.412,,,249.045,,,1.691256,,,9.08545,,,40.79992,,
1990,076,"Brazil",09,"Stock",2,"Outward",41044.136,,,275.199,,,1.820217,,,10.03958,,,45.08465,,
1990,092,"British Virgin Islands",08,"Flow",1,"Inward",18.35,,,1168.492,,,0.008956,,,15.30602,,,62.79734,,
1990,092,"British Virgin Islands",08,"Flow",2,"Outward",-2519.592,,,-160442.681,,,-1.03315,,,-2101.63069,,,-8622.54283,,
1990,092,"British Virgin Islands",09,"Stock",1,"Inward",125.92,,,8018.339,,,0.005734,,,105.03183,,,430.9232,,
1990,092,"British Virgin Islands",09,"Stock",2,"Outward",875.008,,,55718.798,,,0.038805,,,729.85776,,,2994.45084,,
1990,096,"Brunei Darussalam",08,"Flow",1,"Inward",7,,,27.42,,,0.003417,,,0.17945,,,0.64802,,
1990,096,"Brunei Darussalam",09,"Stock",1,"Inward",33.12,,,129.734,,,0.001508,,,0.84908,,,3.06606,,
1990,100,"Bulgaria",08,"Flow",1,"Inward",4,,,0.453,,,0.001952,,,0.0193,,,0.09076,,
1990,100,"Bulgaria",08,"Flow",2,"Outward",-2.506,,,-0.284,,,-0.001028,,,-0.01209,,,-0.05686,,
1990,100,"Bulgaria",09,"Stock",1,"Inward",112.27,,,12.726,,,0.005112,,,0.54169,,,2.54736,,
1990,100,"Bulgaria",09,"Stock",2,"Outward",124.443,,,14.105,,,0.005519,,,0.60042,,,2.82356,,
1990,854,"Burkina Faso",08,"Flow",1,"Inward",0.46,,,0.05,,,0.000225,,,0.01305,,,0.07358,,
1990,854,"Burkina Faso",08,"Flow",2,"Outward",-0.551,,,-0.06,,,-0.000226,,,-0.01563,,,-0.08812,,
1990,854,"Burkina Faso",09,"Stock",1,"Inward",38.67,,,4.222,,,0.001761,,,1.09731,,,6.18539,,
1990,854,"Burkina Faso",09,"Stock",2,"Outward",3.718,,,0.406,,,0.000165,,,0.1055,,,0.59467,,
1990,108,"Burundi",08,"Flow",1,"Inward",1.255,,,0.225,,,0.000613,,,0.10933,,,0.66697,,
1990,108,"Burundi",08,"Flow",2,"Outward",0.006,,,0.001,,,2E-06,,,0.00051,,,0.0031,,
1990,108,"Burundi",09,"Stock",1,"Inward",30.188,,,5.403,,,0.001375,,,2.62892,,,16.03823,,
1990,108,"Burundi",09,"Stock",2,"Outward",0.346,,,0.062,,,1.5E-05,,,0.03013,,,0.18379,,
1990,132,"Cabo Verde",08,"Flow",1,"Inward",0.253,,,0.673,,,0.000123,,,0.0721,,,0.18609,,
1990,132,"Cabo Verde",08,"Flow",2,"Outward",0.317,,,0.844,,,0.00013,,,0.09041,,,0.23333,,
