Date,TSLA.US,^NDQ,GM.US,^DJI
2019/9/24,-18.67460515,-3.661959504,-3.152811314,-1.31929548
2019/9/25,6.148904285,2.619273096,2.302930367,1.519522139
2019/9/26,15.15081952,-1.446013435,3.377171484,-0.737744761
2019/9/27,-0.443703736,-2.833826859,-1.26509991,-0.65886062
2019/9/30,-1.300954033,1.880062421,0.396152991,0.900252608
2019/10/1,3.96531324,-2.832984429,-9.136861674,-3.193076599
2019/10/2,-1.59385019,-3.902036873,-9.901814301,-4.651518983
2019/10/3,-10.38639743,2.794386821,2.167677163,1.173566699
2019/10/4,-1.715448044,3.499625902,-0.503842719,3.555965717
2019/10/7,6.794156345,-0.819921653,-1.143662901,-0.900325585
2019/10/8,2.449835941,-4.163686844,-6.262864342,-2.964534357
2019/10/9,4.666225091,2.555030944,1.92463441,1.738741418
2019/10/10,0.214697583,1.487903195,3.805563332,1.429628244
2019/10/11,3.217700417,3.34118162,6.560064993,3.018492512
2019/10/14,9.147706644,-0.260331338,-0.488272786,-0.272499225
2019/10/15,0.904808327,3.107974629,5.352562804,2.215970517
2019/10/16,1.803090847,-0.752573107,2.687493977,-0.211102395
2019/10/17,2.136665762,1.00533223,-3.140500966,0.221280069
2019/10/18,-4.79109289,-2.062990002,-0.134175396,-2.365140377
2019/10/21,-3.35668418,2.269906571,-1.655008211,0.53641736
2019/10/22,2.051775148,-1.797441869,2.641348618,-0.368463271
2019/10/23,-0.880348853,0.477832755,2.056882313,0.427895222
2019/10/24,44.17299322,2.032380148,-5.386923727,-0.264776524
2019/10/25,23.73277541,1.750592489,6.419323095,1.422560942
2019/10/28,-0.319995611,2.513308068,-0.682504119,1.230244313
2019/10/29,-8.765385196,-1.475500211,10.70804502,-0.17810527
2019/10/30,-0.955823407,0.819454261,-1.95399702,1.064499018
2019/10/31,-0.071426191,-0.349832249,-4.945160696,-1.291624688
2019/11/1,-1.278894197,2.835139815,5.443875674,2.783474813
2019/11/4,3.320199356,1.395115902,2.768131907,1.049004365
2019/11/5,-0.197262423,0.043874211,-1.045336274,0.277837355
2019/11/6,7.376584074,-0.712830836,1.244616964,-0.000636534
