Date,Toyota,Honda,Nikkei,SMB,HML,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
20150525,1.352,1.369,0.737,-0.31,0.04,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150526,-0.092,0.085,0.116,-0.2,0.43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20150527,0.532,0.633,0.172,0.29,-0.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20150528,1.658,1.674,0.385,-0.75,0.63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
20150529,-0.38,-0.467,0.057,0.21,-0.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150601,-0.975,-0.047,0.033,0.24,0.24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150602,-0.072,-1.374,-0.13,0.23,-0.39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20150603,0.012,1.798,-0.339,0.37,0.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20150604,0.141,-0.374,0.072,0.02,0.46,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20150605,-0.668,-0.751,-0.133,0.44,-0.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150608,-1.322,0.189,-0.018,0.51,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150609,-1.71,-2.125,-1.764,0.48,0.02,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20150610,-0.403,-0.325,-0.249,0.42,-0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20150611,1.711,0.725,1.679,-0.1,-0.42,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20150612,0.865,-1.453,0.118,0.32,-0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150615,0.178,-0.658,-0.095,0.12,-0.22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150616,-0.167,-1.153,-0.637,0.12,-0.31,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20150617,-1.001,-0.224,-0.191,0.56,-0.39,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20150618,-1.528,-1.467,-1.13,0.44,-0.39,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20150619,0.612,0.642,0.918,-0.12,-0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150622,0.765,2.183,1.259,-0.49,0.14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150623,2.146,2.063,1.866,-0.8,0.32,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20150624,-0.309,-2.31,0.282,0.12,-0.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
20150626,-0.061,-0.554,-0.314,0.11,-0.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150629,-2.183,-2.736,-2.879,0.24,0.27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20150630,0.639,0.866,0.625,0.49,-0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20150701,-0.768,-1.527,0.462,0.82,-0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20150702,0.159,3.524,0.95,-0.37,0.31,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20150703,0.356,0.014,0.084,-0.77,0.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150706,-1.407,-1.833,-2.082,0.41,-0.49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150707,0.608,-0.378,1.315,0.17,-0.59,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20150708,-2.28,-2.911,-3.136,0.49,-0.23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20150709,-0.415,-0.079,0.597,-0.7,-0.17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20150710,0.341,-0.013,-0.381,-0.75,1.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150713,2.372,1.135,1.567,-0.17,-0.24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150714,1.084,1.562,1.471,0.37,-0.14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20150715,0.879,1.55,0.383,0.1,-0.22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20150716,1.921,-0.651,0.668,-0.26,-0.13,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20150717,-1.031,0.189,0.247,0.03,-0.43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150721,0.371,-1.018,0.925,0.19,-0.73,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20150722,-1.17,-0.622,-1.191,0.58,-0.41,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20150723,-0.014,0.293,0.438,-0.01,-0.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20150727,-1.136,-0.053,-0.946,-0.28,0.46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150728,-1.294,-1.117,-0.104,0.55,-0.32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20150729,0.433,-0.116,-0.128,-0.55,0.46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20150730,0.628,1.897,1.083,-0.75,1.27,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
20150731,1.103,1.532,0.304,0.03,0.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150803,-0.641,8.77,-0.18,0.12,-0.03,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150804,-0.964,-0.151,-0.135,0.02,-0.28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20150805,-2.354,0.81,0.457,0.16,0.07,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20150806,1.3,2.961,0.244,-0.28,0.77,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20150807,1.059,-1.46,0.291,-0.55,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150810,0.319,-0.634,0.406,0.05,-0.18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150811,-0.269,0.046,-0.423,0.42,0.08,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20150812,-1.662,-2.196,-1.583,0.11,0.11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20150813,-0.576,0.233,0.994,-0.48,0.33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20150814,0.049,-2.519,-0.369,0.4,-0.32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150817,-0.162,0.25,0.491,0.18,0.17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150818,0.439,0.297,-0.319,0.35,0.35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20150819,-0.88,-1.208,-1.614,0.04,0.48,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20150820,-2.089,-2.434,-0.935,0.39,-0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20150821,-2.999,-2.641,-2.983,0.14,0.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150824,-6.746,-6.524,-4.606,-0.85,1.23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150825,-3.846,-4.158,-3.959,-0.01,0.09,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20150826,2.899,3.423,3.202,0.51,-0.98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20150827,1.534,0.286,1.075,-0.08,-0.21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20150828,4.552,4.807,3.025,-0.03,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150831,-2.096,-0.907,-1.285,1.47,-0.45,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20150901,-2.668,-3.779,-3.837,0.36,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20150902,0.213,-0.57,-0.387,-0.29,-0.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20150903,2.422,0.478,0.481,-0.24,-0.33,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150904,-2.519,-1.904,-2.146,-0.2,0.93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150907,1.215,1.193,0.384,-0.84,0.45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150908,-0.549,-0.835,-2.427,0.05,1.48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20150909,6.253,6.591,7.709,-2.04,-0.35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20150910,-4.219,-2.969,-2.509,1.75,-0.39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150911,-1.435,-0.614,-0.193,1.13,-0.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150914,-0.921,-1.735,-1.634,0.76,-0.21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150915,2.201,1.273,0.338,-0.06,0.29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20150916,1.896,3.47,0.805,-0.52,0.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20150917,0.561,0.614,1.434,-0.07,-0.45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150918,-1.417,-1.415,-1.964,1.16,-0.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150924,-1.853,-2.947,-2.758,0.39,-0.15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20150925,1.34,0.488,1.757,-0.48,0.44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150928,-0.65,-2.295,-1.317,1.07,-0.68,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20150929,-4.68,-3.95,-4.048,1.42,0.26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20150930,3.747,1.783,2.701,-0.47,0.03,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20151001,2.583,1.865,1.922,-1.12,0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20151002,1.484,0.999,0.015,0.16,-0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151005,-0.153,-0.055,1.582,-0.29,-0.84,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151006,-0.386,1.045,1.003,-0.23,0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20151007,1.842,5.031,0.753,-0.6,1.08,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20151008,-0.026,-0.336,-0.992,0.08,0.56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
20151009,2.053,4.052,1.64,-0.97,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20151013,-2.452,-2.746,-1.106,1.1,-0.49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20151014,-1.751,-2.439,-1.885,0.59,-0.15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
20151015,0.876,0.685,1.151,-0.18,-0.19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
