Date,700.HK,175.HK
2019/12/18,0.017254893,-0.018407182
2019/12/19,-0.005326777,-0.013382557
2019/12/20,-0.001070523,-0.009432491
2019/12/23,0.006968547,0.012276698
2019/12/24,-0.002660634,-0.00132162
2019/12/27,0.019105787,0.018909317
2019/12/30,-0.002094175,0.017266527
2019/12/31,-0.019838864,-0.005188988
2020/1/2,0.018099365,0.023623236
2020/1/3,0.001577237,0.010184651
2020/1/6,-0.014597462,-0.020230312
2020/1/7,0.021714631,0.015506344
2020/1/8,-0.009334923,-0.008885568
2020/1/9,0.020924464,0.034716707
2020/1/10,0.022070595,-0.005002212
2020/1/13,0.019576535,0.021273118
2020/1/14,-0.014795738,-0.018307867
2020/1/15,-0.003968955,-0.007524926
2020/1/16,0.003027209,-0.007516278
2020/1/17,-0.002515482,-0.017754652
2020/1/20,-0.007509773,-0.043800589
2020/1/21,-0.02676116,-0.052552193
2020/1/22,0.01450605,0.002856675
2020/1/23,-0.013810299,-0.035480617
2020/1/24,0.000495173,-0.011751767
2020/1/29,-0.006724731,-0.02978326
2020/1/30,-0.021412791,-0.039865884
2020/1/31,-0.005307341,0.001562265
2020/2/3,0.018761477,0.004854652
2020/2/4,0.034186648,0.012609262
2020/2/5,-0.001994859,0.02352729
2020/2/6,0.01989573,0.024564298
2020/2/7,0.005983109,0.00894288
2020/2/10,-0.004498929,0.014821759
2020/2/11,0.020984805,0.056924721
2020/2/12,0.004893219,0.016599728
2020/2/13,0.013138263,-0.008199866
2020/2/14,-0.003382083,-0.008196017
2020/2/17,0.003878007,0.040032939
2020/2/18,-0.020178432,0
2020/2/19,0.007833189,0
2020/2/20,-0.003374139,0.00267402
2020/2/21,-0.021974123,0
2020/2/24,-0.0264283,-0.01988044
2020/2/25,0.028690614,0.016241086
2020/2/26,-0.004955725,-0.012003533
2020/2/27,-0.001006194,-0.008052652
2020/2/28,-0.033098656,-0.059693019
2020/3/2,0.009325443,0.028798044
2020/3/3,0.011305998,-0.01114249
2020/3/4,0,0
2020/3/5,0.030982369,0.014198181
2020/3/6,-0.02559696,-0.015440316
2020/3/9,-0.046489547,-0.04542044
2020/3/10,0.014813704,0.020872407
2020/3/11,-0.011999251,-0.023380623
2020/3/12,-0.039115437,-0.044727188
2020/3/13,0.003845438,0.004592254
2020/3/16,-0.063555417,-0.071554066
2020/3/17,0.023418034,-0.013307635
2020/3/18,-0.045189631,-0.084935983
2020/3/19,0.026944541,-0.04449738
2020/3/20,0.048431135,0.064097057
2020/3/23,-0.032268033,-0.080282671
2020/3/24,0.049409237,0.107036685
2020/3/25,0.040529475,0.073493987
2020/3/26,0.004737585,-0.023338863
2020/3/27,0.001553226,0.005113672
2020/3/30,-0.015146231,-0.040790188
2020/3/31,0.009557993,0.014178018
2020/4/1,-0.015260137,-0.052481439
2020/4/2,0.014422675,0.003715069
2020/4/3,-0.008948189,0
2020/4/6,0.013301913,0.031283348
2020/4/7,0.016242246,0.021329157
2020/4/8,-0.006693322,-0.029609617
2020/4/9,0.016609901,0.034134412
2020/4/14,0.009196547,-0.017317907
2020/4/15,0,-0.008848575
2020/4/16,0.029885598,-0.012616264
2020/4/17,0.006871529,0.057919476
2020/4/20,-0.002454106,0.001761177
2020/4/21,-0.019589663,-0.039338176
2020/4/22,0.021988525,0.0124575
2020/4/23,0.005354799,0.007055887
2020/4/24,-0.012606341,-0.00521156
2020/4/27,0.01623007,0.040289786
2020/4/28,0.010178397,0
2020/4/29,-0.000481878,0.020231901
2020/5/4,-0.040751607,-0.047919849
2020/5/5,0.014981765,0.046751505
2020/5/6,0.009856176,0.041424935
2020/5/7,-0.006817941,0.003192816
2020/5/8,0.026990081,0.026895088
2020/5/11,0.040178474,0.009314038
2020/5/12,-0.009199113,-0.013802148
2020/5/13,-0.003244074,-0.007678773
2020/5/14,0.002316339,-0.015631639
2020/5/15,-0.01910024,-0.014327575
2020/5/18,0.004283828,0.022586975
2020/5/19,0.016547782,0.022013951
2020/5/20,0.023248513,-0.009299252
2020/5/21,-0.014994986,-0.013957801
2020/5/22,-0.048447572,-0.061504958
2020/5/25,0.010186757,0.011707832
2020/5/26,0.02110876,0.015082275
2020/5/27,-0.01268194,-0.009876924
2020/5/28,-0.028100331,-0.011004115
2020/5/29,0.005380272,-0.095593955
2020/6/1,0.045323102,0.028306628
2020/6/2,0.00327363,0.016597276
2020/6/3,0.005100405,0.034279692
2020/6/4,0.005563577,0.003432341
2020/6/5,-0.001843493,0.022670384
2020/6/8,-0.009675331,0.017011306
2020/6/9,0.008837387,0.038429586
2020/6/10,0.028592993,-0.022532702
2020/6/11,-0.008516461,-0.013230504
2020/6/12,-0.003174422,0.005062165
2020/6/15,-0.016779328,-0.036583913
2020/6/16,0.035058411,0.018986559
2020/6/17,0.00399789,0.006751135
2020/6/18,0.016424231,0.058829099
2020/6/19,0.005255031,-0.006333282
2020/6/22,0.029967112,-0.019202762
2020/6/23,0.048931795,0.004938478
2020/6/24,-0.013264388,-0.004914209
2020/6/26,-0.011829328,0.029372263
2020/6/29,0.00206682,-0.02853415
2020/6/30,0.025913588,-0.006498436
2020/7/2,0.039920228,0.031134547
2020/7/3,0.011564714,0.125606658
2020/7/6,-0.008564772,0.158244652
2020/7/7,-0.007693321,0.032891326
2020/7/8,0.052312516,0.003579873
2020/7/9,0.036841471,-0.003567103
2020/7/10,-0.029315978,0.039003683
2020/7/13,-0.01005606,0.082941933
2020/7/14,-0.029580785,-0.050405761
2020/7/15,0.034283916,-0.02210073
2020/7/16,-0.055233448,-0.119749285
2020/7/17,0.015578881,0.020552944
2020/7/20,0.002886988,0.013851219
2020/7/21,0.079430666,0.022310337
2020/7/22,-0.044339692,-0.051000112
2020/7/23,0.03341221,0.029454338
2020/7/24,-0.052080884,-0.013679107
2020/7/27,-0.015136569,-0.010050057
2020/7/28,0.045181552,0.017801989
2020/7/29,-0.003672034,0.026197519
2020/7/30,-0.011999955,-0.009719883
2020/7/31,-0.001873639,0.002488471
2020/8/3,0.009351824,0.018406681
2020/8/4,0.020406943,0.01563657
2020/8/5,0.020000659,0.023731697
2020/8/6,-0.009794362,-0.008136692
2020/8/7,-0.050399259,-0.016347046
2020/8/10,-0.04833969,-0.004738645
2020/8/11,0.022892016,0.007175425
2020/8/12,0.013629506,0.005922761
2020/8/13,-0.020170328,-0.014158683
2020/8/14,-0.006862507,-0.002355936
2020/8/17,-0.0039383,-0.063515138
2020/8/18,0.014866956,0.020474597
