Date,TSLA.US,GM.US
2013/2/27,2.34,21.0829
2013/2/28,2.322,20.8897
2013/3/1,2.31,20.9365
2013/3/4,2.372,20.8459
2013/3/5,2.44333,21.2212
2013/3/6,2.51267,21.4751
2013/3/7,2.54867,21.4522
2013/3/8,2.56467,21.5468
2013/3/11,2.60667,21.7818
2013/3/12,2.608,21.8296
2013/3/13,2.59867,21.5966
2013/3/14,2.45667,21.6662
2013/3/15,2.35267,21.706
2013/3/18,2.34333,21.5726
2013/3/19,2.33867,21.6224
2013/3/20,2.39667,22.4686
2013/3/21,2.40067,22.0306
2013/3/22,2.44133,21.713
2013/3/25,2.502,21.6662
2013/3/26,2.524,21.6592
2013/3/27,2.544,21.5876
2013/3/28,2.526,21.4054
2013/4/1,2.92867,21.3895
2013/4/2,2.956,21.488
2013/4/3,2.74,21.3895
2013/4/4,2.80067,21.3437
2013/4/5,2.758,21.1754
2013/4/8,2.78867,21.2292
2013/4/9,2.7,21.1814
2013/4/10,2.79067,21.8296
2013/4/11,2.906,22.8678
2013/4/12,2.91667,22.7902
2013/4/15,2.88667,22.2446
2013/4/16,3.03933,22.6757
2013/4/17,3.03,22.5204
2013/4/18,3.13133,22.2964
2013/4/19,3.18867,22.4288
2013/4/22,3.346,22.5055
2013/4/23,3.40067,22.9683
2013/4/24,3.362,23.4273
2013/4/25,3.46667,23.6284
2013/4/26,3.41333,23.4681
2013/4/29,3.66267,23.6911
2013/4/30,3.59933,23.7279
2013/5/1,3.552,23.2223
2013/5/2,3.60733,23.9748
2013/5/3,3.63667,24.6996
2013/5/6,3.96667,24.4836
2013/5/7,3.70067,24.3531
2013/5/8,3.71933,24.6826
2013/5/9,4.62667,24.3531
2013/5/10,5.11733,24.1749
2013/5/13,5.85333,23.8534
2013/5/14,5.54933,24.2755
2013/5/15,5.656,24.8598
2013/5/16,6.15,24.9226
2013/5/17,6.1,25.714
2013/5/20,5.996,25.931
2013/5/21,5.83933,25.699
2013/5/22,5.816,25.5706
2013/5/23,6.182,25.273
2013/5/24,6.472,25.2909
2013/5/28,7.35533,26.1281
2013/5/29,6.97533,26.2007
2013/5/30,6.99667,26.6537
2013/5/31,6.51733,26.0753
2013/6/3,6.17267,26.4815
2013/6/4,6.32267,26.9006
2013/6/5,6.358,26.1749
2013/6/6,6.49,26.5005
2013/6/7,6.80267,26.9524
2013/6/10,6.67,26.7294
2013/6/11,6.298,26.1062
2013/6/12,6.51533,25.7389
2013/6/13,6.54533,26.5443
2013/6/14,6.68667,26.3829
2013/6/17,6.81333,25.9529
2013/6/18,6.89267,26.1689
2013/6/19,6.97867,25.8971
2013/6/20,6.71,25.052
2013/6/21,6.63667,24.7832
2013/6/24,6.766,24.1749
2013/6/25,6.82667,24.4836
2013/6/26,7.048,25.044
2013/6/27,7.28333,25.4681
2013/6/28,7.15733,25.6294
2013/7/1,7.812,26.1609
2013/7/2,7.85467,26.2367
2013/7/3,7.68267,26.2675
2013/7/5,8.006,26.6747
2013/7/8,8.10733,26.6537
2013/7/9,8.23,26.8677
2013/7/10,8.15133,27.1824
2013/7/11,8.374,27.8086
2013/7/12,8.66,28.0076
2013/7/15,8.484,28.0862
2013/7/16,7.27,27.8374
2013/7/17,8.01667,27.9768
2013/7/18,7.93533,28.3461
2013/7/19,7.97867,28.1699
2013/7/22,8.162,28.2834
2013/7/23,8.18267,28.1699
2013/7/24,8.11333,28.5761
2013/7/25,8.27133,28.5303
2013/7/26,8.626,28.2147
2013/7/29,8.97467,27.9936
2013/7/30,8.78267,28.0862
2013/7/31,8.952,27.5994
2013/8/1,9.03667,28.0604
2013/8/2,9.2,28.4317
2013/8/5,9.64533,28.2754
2013/8/6,9.47667,27.6682
2013/8/7,8.94867,27.2978
2013/8/8,10.232,27.707
2013/8/9,10.2,27.715
2013/8/12,9.82533,27.6841
2013/8/13,9.69533,27.5766
2013/8/14,9.29067,27.3715
2013/8/15,9.31133,26.5831
2013/8/16,9.46667,26.4507
2013/8/19,9.66,26.5363
2013/8/20,9.972,26.7673
2013/8/21,9.85733,26.5671
2013/8/22,10.4733,26.9225
2013/8/23,10.7893,26.9753
2013/8/26,10.948,26.8677
2013/8/27,11.134,25.9221
2013/8/28,11.0967,26.1003
2013/8/29,11.0707,26.5083
2013/8/30,11.2667,26.2217
2013/9/3,11.2627,26.2675
2013/9/4,11.3747,27.5836
2013/9/5,11.3287,27.9528
