Date,Toyota,Honda,Nikkei,Mon,Tue,Wed,Thr,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
2015/4/22,0.177 ,0.295 ,1.129 ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/23,0.189 ,1.528 ,0.267 ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015/4/24,-0.767 ,0.602 ,-0.830 ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/27,-0.869 ,-0.678 ,-0.183 ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/28,2.100 ,0.324 ,0.378 ,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2015/4/30,-1.843 ,-6.674 ,-2.687 ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2015/5/1,-0.514 ,1.435 ,0.060 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/7,-1.215 ,-0.256 ,-1.227 ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015/5/8,0.791 ,2.311 ,0.452 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/11,-0.532 ,0.646 ,1.247 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/12,0.594 ,-0.938 ,0.020 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/13,-1.064 ,0.479 ,0.713 ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/14,-0.206 ,-0.071 ,-0.984 ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015/5/15,1.430 ,-0.240 ,0.831 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/18,0.677 ,1.402 ,0.797 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/19,0.144 ,-1.323 ,0.684 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/20,0.487 ,0.072 ,0.850 ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/21,0.216 ,-0.681 ,0.031 ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015/5/22,-0.914 ,-0.746 ,0.305 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/25,1.352 ,1.369 ,0.737 ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/26,-0.092 ,0.085 ,0.116 ,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/27,0.532 ,0.633 ,0.172 ,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2015/5/28,1.658 ,1.674 ,0.385 ,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015/5/29,-0.380 ,-0.467 ,0.057 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015/6/1,-0.975 ,-0.047 ,0.033 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/2,-0.072 ,-1.374 ,-0.130 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/3,0.012 ,1.798 ,-0.339 ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/4,0.141 ,-0.374 ,0.072 ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2015/6/5,-0.668 ,-0.751 ,-0.133 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/8,-1.322 ,0.189 ,-0.018 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/9,-1.710 ,-2.125 ,-1.764 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/10,-0.403 ,-0.325 ,-0.249 ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/11,1.711 ,0.725 ,1.679 ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2015/6/12,0.865 ,-1.453 ,0.118 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/15,0.178 ,-0.658 ,-0.095 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/16,-0.167 ,-1.153 ,-0.637 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/17,-1.001 ,-0.224 ,-0.191 ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/18,-1.528 ,-1.467 ,-1.130 ,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2015/6/19,0.612 ,0.642 ,0.918 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/22,0.765 ,2.183 ,1.259 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/23,2.146 ,2.063 ,1.866 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/24,-0.309 ,-2.310 ,0.282 ,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/26,-0.061 ,-0.554 ,-0.314 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/29,-2.183 ,-2.736 ,-2.879 ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/6/30,0.639 ,0.866 ,0.625 ,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015/7/1,-0.768 ,-1.527 ,0.462 ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2015/7/2,0.159 ,3.524 ,0.950 ,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
